ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24018511,"05/08/2024, 10:53:17 PM","05/09/2024, 1:04:47 PM",THUNDER BAY,ON,P7B 5Z5,1200 Block BALMORAL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24018541,"05/09/2024, 2:04:46 AM","05/09/2024, 1:04:47 PM",THUNDER BAY,ON,P7B 3K5,100 Block HIGH ST S, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24018480,"05/08/2024, 7:57:42 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24018486,"05/08/2024, 8:27:52 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 4A8,600 Block SQUIER ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24018494,"05/08/2024, 9:16:21 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 5J4,1000 Block DAWSON RD," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24018498,"05/08/2024, 9:55:00 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD," TBPS] THEFT NOT IN PROGRESS, FROM MOTOR VEHICLE",Theft from Vehicle,THEFT
TB24018501,"05/08/2024, 10:14:07 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 3C2,200 Block ALGOMA ST S, TBPS] B-E BUS/RES/OTH 11-10,Breaking & Entering,B-E BUS/RES/OTH
TB24018520,"05/08/2024, 11:31:41 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 3Y2,300 Block MEMORIAL AV, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24018522,"05/08/2024, 11:33:56 PM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 3Y2,200 Block MEMORIAL AV, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24018575,"05/09/2024, 5:51:06 AM","05/09/2024, 1:04:48 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST, TBPS] STOLEN VEHICLE SUSP PRESENT OR MAY STILL BE IN AREA,Theft of Vehicle,STOLEN VEHICLE
